id,target
98,92.0
436,48.0
17,144.0
210,191.0
177,225.0
229,53.0
69,178.0
227,108.0
362,321.0
97,279.0
42,61.0
218,214.0
142,235.0
337,91.0
199,90.0
399,232.0
265,74.0
72,202.0
65,163.0
295,85.0
409,181.0
173,101.0
171,74.0
254,310.0
440,220.0
159,195.0
24,184.0
61,144.0
77,200.0
343,113.0
310,109.0
354,272.0
302,198.0
376,121.0
152,292.0
130,274.0
338,214.0
413,113.0
15,171.0
328,78.0
380,52.0
55,128.0
149,126.0
421,212.0
231,154.0
299,83.0
96,150.0
83,210.0
417,55.0
41,55.0
8,110.0
126,99.0
60,61.0
341,263.0
139,281.0
32,341.0
434,49.0
238,257.0
311,180.0
224,77.0
288,80.0
438,104.0
437,178.0
73,111.0
393,69.0
350,243.0
435,64.0
388,110.0
84,65.0
330,244.0
10,101.0
120,200.0
137,280.0
204,277.0
316,220.0
272,182.0
327,237.0
146,178.0
202,196.0
358,90.0
325,192.0
242,71.0
116,275.0
239,262.0
164,214.0
51,225.0
282,230.0
163,131.0
275,94.0
344,200.0
432,173.0
356,54.0
111,59.0
53,104.0
280,265.0
361,182.0
351,71.0
216,248.0
395,258.0
125,161.0
332,270.0
165,59.0
30,129.0
317,190.0
36,265.0
352,77.0
255,153.0
190,292.0
188,141.0
422,233.0
306,44.0
