id,target
136,6
524,8
694,0
1314,7
985,3
572,1
857,7
906,1
1765,3
1332,3
904,9
1766,1
1586,7
553,9
1609,6
1345,6
1672,5
751,9
1167,0
1144,5
402,6
519,3
956,2
939,6
1538,8
218,1
624,7
254,9
325,9
1661,4
102,5
1256,1
920,5
149,9
770,4
1790,8
137,7
844,4
1356,9
1423,8
1152,9
1038,9
959,2
948,7
1453,8
1111,2
1386,1
788,2
633,5
61,7
1572,9
1335,0
1218,7
877,0
860,2
124,4
105,9
98,3
901,9
1719,7
108,7
103,3
721,2
1088,7
138,8
1211,2
1285,9
789,3
21,1
81,7
1723,1
8,8
1755,6
873,4
1738,5
1597,2
241,2
1449,6
1296,9
1070,4
837,7
434,0
1645,6
118,7
0,0
1678,1
245,5
1200,7
720,5
45,3
866,1
14,4
473,4
145,5
603,4
1127,4
712,6
1258,0
889,2
1190,5
1244,4
79,0
525,9
1307,0
375,9
1340,8
37,9
1120,1
127,8
563,1
1240,3
498,7
389,3
945,8
34,6
398,2
557,4
746,4
950,3
5,5
1060,9
1360,9
1726,3
1375,6
1628,4
1283,0
1142,2
1322,5
416,0
1712,3
1339,7
461,2
898,8
989,6
1621,1
466,1
439,8
1007,6
334,0
207,2
1491,8
1415,0
1128,0
205,2
1733,6
1763,8
534,8
864,6
875,1
213,3
258,2
1019,7
1017,2
1072,7
702,1
1507,9
76,8
1381,7
1385,3
231,3
1309,2
1703,0
1042,3
766,5
1474,3
30,0
1239,6
907,2
1583,8
90,1
537,1
164,6
1501,7
1680,3
1648,1
684,8
1537,8
997,8
917,2
1154,8
1534,9
628,7
80,1
1224,6
1320,5
790,4
929,4
571,0
802,6
963,7
620,6
491,9
632,2
797,1
352,8
73,9
1427,2
1676,9
1718,2
1459,7
275,9
1470,0
745,1
35,5
180,2
478,9
1663,0
1032,3
1172,5
174,7
470,2
1688,1
344,6
1225,4
1600,2
385,3
1752,1
1502,4
425,9
545,9
642,0
626,4
1261,6
1391,6
1792,9
1071,1
1674,7
1235,0
1649,7
1414,8
1276,9
1483,4
360,6
921,6
446,3
357,0
1635,7
1268,4
1174,7
645,8
1049,0
120,5
616,4
240,7
1221,4
1164,7
1576,5
922,7
885,5
972,1
338,6
1759,9
1490,2
196,6
1171,4
1461,5
422,0
604,6
328,0
754,7
1166,9
521,5
396,0
130,0
41,4
1779,7
1439,4
1542,8
518,2
840,4
1760,1
951,5
283,7
640,4
1074,3
1788,4
1731,4
1561,6
503,5
926,1
953,2
160,0
893,5
535,9
1267,4
55,0
1383,8
1250,1
1331,7
63,3
126,0
199,9
1062,5
1053,4
984,6
1457,1
289,5
1325,8
937,5
723,2
202,0
143,3
426,8
1269,7
657,1
11,1
489,3
666,0
1018,5
1462,1
692,5
59,3
1714,1
1450,5
1196,9
529,3
1465,2
1664,8
110,4
717,5
267,1
1425,0
824,0
366,4
1326,9
1615,0
438,7
1440,5
685,9
1430,5
1492,2
1603,3
990,3
1694,7
1095,4
1521,6
969,6
351,6
347,3
1106,0
1013,7
1214,2
1783,2
431,3
551,5
277,1
1373,7
892,2
302,5
1259,5
801,5
1404,5
1599,1
442,1
482,8
496,4
915,0
680,6
686,8
1303,6
393,7
123,8
479,1
1767,4
916,1
311,0
1173,6
1539,4
646,0
1670,3
784,8
1749,6
1606,3
1497,6
75,2
273,7
1379,9
1422,7
814,8
1630,3
370,8
1260,3
965,3
779,3
1412,9
935,0
1067,8
436,2
573,2
420,6
955,8
1271,8
22,2
1768,0
728,6
1321,6
1129,5
562,5
1022,4
313,2
1565,2
1015,8
791,5
1351,4
738,9
1547,2
1327,8
139,9
816,8
1605,3
750,6
1069,8
1727,3
865,3
1431,6
579,3
543,7
1045,6
993,9
651,5
1555,0
1617,5
1117,1
511,9
538,2
1039,0
111,4
380,4
733,4
1246,3
512,0
341,1
987,1
614,3
221,1
1640,1
225,4
681,5
737,3
91,3
1100,9
1679,2
65,6
886,4
973,5
1284,8
1157,0
1699,5
141,1
1306,9
