id,target
55,1
118,1
97,0
334,1
304,1
17,0
5,1
65,0
247,0
132,0
274,0
166,0
48,1
233,1
140,0
222,0
323,0
201,0
18,1
321,0
286,1
243,0
13,0
144,1
187,1
219,0
41,0
162,1
204,1
29,1
82,0
354,1
231,1
297,1
165,1
300,0
205,1
78,0
355,1
22,1
349,1
220,1
348,0
199,0
275,0
185,1
61,1
245,0
86,0
68,0
184,0
330,1
261,1
8,0
260,0
259,1
116,0
155,1
173,0
251,0
124,0
339,0
88,0
288,1
123,0
356,1
110,1
218,0
20,0
99,1
73,1
70,1
102,1
26,0
67,0
49,1
291,0
179,1
3,1
34,0
351,0
181,1
176,0
113,1
71,0
57,1
0,0
188,1
223,0
135,1
